Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Coming Off GLP-1: The Complete Guide with a 14-Day Meal Plan,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-meal-plans-w37-29826f0f.png,GLP-1 Meal Plans,,"Coming off GLP-1 medication raises one question: what now? This guide walks you through the transition, the habits that hold, and a 14-day plan. Instant download.",https://www.etsy.com/listing/4490985570/?utm_source=pinterest&utm_medium=organic&utm_campaign=mealplans&utm_content=glp1-w37-p011,2026-09-08T16:35:00,"glp1, glp1 meal ideas, tirzepatide, glp1 meal plan, what to eat on glp-1, glp-1 beginners guide, glp-1 transition, first week on glp-1, glp-1 guide, food noise"
"The Oral GLP-1 Pill Guide: Pill vs Injection, Dosing Schedule and What to Eat",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w37-1be94572.png,GLP-1 Foods to Eat,,"A complete guide to the oral GLP-1 pill: how it compares to the injection, the dosing schedule, what to eat and how to handle side effects. Calm, clear, no medical advice. Digital download.",https://www.etsy.com/listing/4490978958/?utm_source=pinterest&utm_medium=organic&utm_campaign=foods&utm_content=glp1-w37-p012,2026-09-08T19:04:00,"glp1, glp1 meal ideas, tirzepatide, glp1 meal plan, glp-1 beginners guide, coming off glp-1, what to eat on glp-1, food noise, life after glp-1, first week on glp-1"
"Oral Semaglutide Guide: Dosing, Diet Plan and Side Effects Explained Simply",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w37-329edad0.png,GLP-1 Foods to Eat,,"Thinking about the pill instead of the injection? This guide explains the difference, the schedule and a simple diet plan. Instant download.",https://www.etsy.com/listing/4490978958/?utm_source=pinterest&utm_medium=organic&utm_campaign=foods&utm_content=glp1-w37-p013,2026-09-08T20:16:00,"glp1, glp1 meal ideas, tirzepatide, glp1 meal plan, keep weight off after glp-1, glp-1 guide, coming off glp-1, food noise, life after glp-1, first week on glp-1"
"GLP-1 Symptom Food Swap Guide: What to Eat Instead for Nausea, Bloating and More",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-foods-to-eat-w37-e78ae7f7.png,GLP-1 Foods to Eat,,"A GLP-1 food swap guide by symptom: what to eat instead when nausea, bloating, constipation or reflux shows up. Simple swaps, printable PDF. Instant download.",https://glp-1-living.com/products/glp-1-food-swap-guide-for-beginners?utm_source=pinterest&utm_medium=organic&utm_campaign=foods&utm_content=glp1-w37-p014,2026-09-08T21:22:00,"high protein foods, glp1 meal ideas, protein snacks, glp1 snacks, glp-1 foods to eat, glp-1 protein snacks, glp-1 grocery list, what to eat on semaglutide, glp-1 foods to avoid, high protein low cal meals"
"GLP-1 Planner 2026: 100+ Dated Pages for Weight, Meals, Habits and Progress",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w37-8fe4abe3.png,GLP-1 Trackers & Journals,,"A dated 2026 GLP-1 planner with 100+ pages: daily and weekly layouts for weight, meals, dose, habits and progress. Print it or use it on your tablet. One calm place for the whole year. Instant download.",https://glp-1-living.com/products/glp-1-planner-2026?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers&utm_content=glp1-w37-p015,2026-09-09T07:02:00,"glp1, habit tracker, glp1 meal ideas, tirzepatide, semaglutide injection log, glp1 injection tracker, glp-1 medication journal, glp-1 weight tracker, injection site rotation log, glp-1 tracker"
GLP-1 Price List and Promo Flyers: 4 Editable Templates for Clinics,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-5e77ac4f.png,GLP-1 Tools for Clinics & Coaches,,"Four editable clinic flyers for GLP-1 programs: price list, monthly promotion, new patient offer and program overview. Calm, professional layouts in Canva. Print for the front desk or post online. Instant download.",https://www.etsy.com/listing/4415387422/glp1-weight-loss-flyer-for-clinics?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p016,2026-09-09T07:37:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, clinic marketing flyers, medspa instagram, medspa canva templates, med spa instagram post ideas, wellness clinic social media, aesthetic nurse instagram"
GLP-1 Smoothie Recipes: High Protein Smoothies for Low-Appetite Days,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-recipes-w37-014d95ad.png,GLP-1 Recipes,,"High protein smoothie recipes for GLP-1 days when solid food is too much: 35 recipes with macros, gentle ingredients and real protein. Instant PDF download.",https://glp-1-living.com/products/glp-1-smoothie-meal-plan?utm_source=pinterest&utm_medium=organic&utm_campaign=recipes&utm_content=glp1-w37-p017,2026-09-09T08:27:00,"high protein meals, glp1 recipes, glp1 meal ideas, high protein dinner, glp-1 recipes, glp-1 friendly recipes, high protein meal prep, glp-1 smoothie recipes, glp-1 soup recipes, small portion meals"
Beige Aesthetic GLP-1 Bundle: 130 Medspa Instagram Templates,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-8dae6aec.png,GLP-1 Tools for Clinics & Coaches,,"130 beige aesthetic templates for medspas and weight loss clinics: posts, stories and reels covers for GLP-1 programs. Warm neutrals, calm typography, editable in free Canva. A month of medspa marketing, ready in an evening. Instant download.",https://glp-1-living.com/products/glp-1-medspa-instagram-templates-beige-aesthetic?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p018,2026-09-09T08:59:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, weight loss clinic marketing, wellness clinic social media, health coach instagram templates, medspa instagram, med spa instagram post ideas, clinic marketing flyers"
"Med Spa Instagram Post Ideas, Done for You: 130 Beige GLP-1 Templates",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-bcea4bb7.png,GLP-1 Tools for Clinics & Coaches,,"Run a GLP-1 program and need content that looks as professional as your clinic? This beige bundle gives you 130 Instagram templates: education, FAQs, consult prompts and program updates. Edit in Canva, add your logo, post. Digital download for medspas and coaches.",https://glp-1-living.com/products/glp-1-medspa-instagram-templates-beige-aesthetic?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p019,2026-09-09T10:35:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, clinic marketing flyers, medspa instagram, medspa canva templates, aesthetic nurse instagram, wellness clinic social media, health coach instagram templates"
Weight Loss Clinic Social Media Bundle: 130 Editable Canva Templates,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-78db39bd.png,GLP-1 Tools for Clinics & Coaches,,"Med spa Instagram post ideas, already designed: 130 beige GLP-1 templates for clinics, nurse injectors and health coaches. Consistent, calm, on-brand, and fully editable in Canva. Stop starting from a blank canvas every week. Instant download.",https://www.etsy.com/listing/4549133534/?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p020,2026-09-09T11:42:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, med spa instagram post ideas, medspa canva templates, wellness clinic social media, weight loss clinic marketing, health coach instagram templates, clinic marketing flyers"
"GLP-1 Program Marketing Kit for Medspas (Beige, 130 Templates)",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-29cd1dc9.png,GLP-1 Tools for Clinics & Coaches,,"130 beige aesthetic templates for medspas and weight loss clinics: posts, stories and reels covers for GLP-1 programs. Warm neutrals, calm typography, editable in free Canva. A month of medspa marketing, ready in an evening. Instant download.",https://glp-1-living.com/products/glp-1-medspa-instagram-templates-beige-aesthetic?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p021,2026-09-09T12:19:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, health coach instagram templates, clinic marketing flyers, medspa canva templates, med spa instagram post ideas, aesthetic nurse instagram, wellness clinic social media"
"50 Beige GLP-1 Instagram Posts for Medspas, Editable in Canva",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-ec4569cc.png,GLP-1 Tools for Clinics & Coaches,,"50 beige aesthetic Instagram posts for medspas and weight loss clinics running GLP-1 programs: education, myths, what to expect, consult prompts. Editable in free Canva, so your feed looks consistent without a designer. Instant download.",https://glp-1-living.com/products/instagram-posts-glp-1?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p022,2026-09-09T12:40:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, clinic marketing flyers, medspa canva templates, medspa instagram, health coach instagram templates, aesthetic nurse instagram, med spa instagram post ideas"
Medspa Instagram Post Templates: 50 GLP-1 Posts in Beige Aesthetic,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-bcc87074.png,GLP-1 Tools for Clinics & Coaches,,"Medspa marketing made simple: 50 GLP-1 Instagram post templates in warm beige tones. Drop in your logo, keep your colors, post for weeks. Made for clinics, nurse injectors and health coaches. Digital download, edit in Canva.",https://glp-1-living.com/products/instagram-posts-glp-1?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p023,2026-09-09T13:29:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, medspa canva templates, weight loss clinic marketing, health coach instagram templates, clinic marketing flyers, medspa instagram, med spa instagram post ideas"
Weight Loss Clinic Instagram Posts: 50 Editable GLP-1 Templates,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-3c9bcd04.png,GLP-1 Tools for Clinics & Coaches,,"50 beige aesthetic Instagram posts for medspas and weight loss clinics running GLP-1 programs: education, myths, what to expect, consult prompts. Editable in free Canva, so your feed looks consistent without a designer. Instant download.",https://www.etsy.com/listing/4415972791/instagram-posts-glp-1-50-beige-aesthetic?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p024,2026-09-09T16:10:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, medspa canva templates, aesthetic nurse instagram, health coach instagram templates, weight loss clinic marketing, wellness clinic social media, clinic marketing flyers"
GLP-1 Instagram Posts for Health Coaches: 50 Beige Canva Templates,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-8fc2dfc5.png,GLP-1 Tools for Clinics & Coaches,,"Medspa marketing made simple: 50 GLP-1 Instagram post templates in warm beige tones. Drop in your logo, keep your colors, post for weeks. Made for clinics, nurse injectors and health coaches. Digital download, edit in Canva.",https://glp-1-living.com/products/instagram-posts-glp-1?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p025,2026-09-09T18:39:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, med spa instagram post ideas, medspa instagram, clinic marketing flyers, health coach instagram templates, aesthetic nurse instagram, weight loss clinic marketing"
"GLP-1 Weight Loss Dashboard: Type Your Weight, the Charts Fill Themselves",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w37-9293e4da.png,GLP-1 Trackers & Journals,,"A GLP-1 weight loss dashboard in Google Sheets and Excel: type your weight and dose, the charts and percent lost fill themselves. Dose log, side effect notes and weekly summary in one tab. Works on phone and laptop. Instant download.",https://glp-1-living.com/products/glp-1-weight-loss-spreadsheet-shot-tracker-google-sheets-das?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers&utm_content=glp1-w37-p026,2026-09-09T19:04:00,"glp1, habit tracker, glp1 meal ideas, tirzepatide, glp-1 tracker printable, glp-1 tracker template, glp-1 dose tracker, semaglutide injection log, glp-1 medication journal, glp-1 weekly tracker"
"GLP-1 Tracker Spreadsheet for Google Sheets and Excel (Dose, Weight, Symptoms)",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w37-83117fe9.png,GLP-1 Trackers & Journals,,"Track your GLP-1 journey in a spreadsheet that does the math: weight trend, percent lost, dose history and symptoms, all auto-calculated. For Google Sheets and Excel. Calm, clear, no app subscription. Digital download.",https://glp-1-living.com/products/glp-1-weight-loss-spreadsheet-shot-tracker-google-sheets-das?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers&utm_content=glp1-w37-p027,2026-09-09T19:34:00,"glp1, habit tracker, glp1 meal ideas, tirzepatide, glp-1 tracker printable, glp-1 dose tracker, glp1 injection tracker, glp-1 weight tracker, glp-1 tracker, glp-1 medication journal"
"GLP-1 Progress Dashboard: Weekly Weight, Dose and Percent Lost, Auto-Calculated",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w37-3759db85.png,GLP-1 Trackers & Journals,,"The all-in-one GLP-1 tracker for people who like data: a dashboard that turns your weekly entries into charts. Dose, weight, measurements and side effects in one place. Google Sheets and Excel. Instant download.",https://www.etsy.com/listing/4534990396/?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers&utm_content=glp1-w37-p028,2026-09-09T20:53:00,"glp1, habit tracker, glp1 meal ideas, tirzepatide, glp-1 tracker printable, glp-1 tracker, tirzepatide weight loss tracker, glp-1 medication journal, glp-1 weight tracker, glp-1 symptom tracker"
Semaglutide and Tirzepatide Tracker Spreadsheet with Automatic Charts,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-trackers-journals-w37-6b23734e.png,GLP-1 Trackers & Journals,,"A GLP-1 weight loss dashboard in Google Sheets and Excel: type your weight and dose, the charts and percent lost fill themselves. Dose log, side effect notes and weekly summary in one tab. Works on phone and laptop. Instant download.",https://glp-1-living.com/products/glp-1-weight-loss-spreadsheet-shot-tracker-google-sheets-das?utm_source=pinterest&utm_medium=organic&utm_campaign=trackers&utm_content=glp1-w37-p029,2026-09-10T08:35:00,"glp1, habit tracker, glp1 meal ideas, tirzepatide, glp-1 dose tracker, injection site rotation log, glp-1 tracker, glp-1 weekly tracker, tirzepatide weight loss tracker, semaglutide injection log"
"30-Day GLP-1 Meal Plan: High Protein Meals, Done for You",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-meal-plans-w37-524fa8f5.png,GLP-1 Meal Plans,,"A 30-day GLP-1 meal plan built for a smaller appetite: 1200 calories, 100g protein and high protein meal prep that fits into a week, not a whole weekend. Every meal is portioned, so food noise gets quieter and the plan does the deciding. Instant download, print it or keep it on your phone.",https://glp-1-living.com/products/30-day-glp-1-meal-plan?utm_source=pinterest&utm_medium=organic&utm_campaign=mealplans&utm_content=glp1-w37-p030,2026-09-10T09:14:00,"glp1 meal plan, glp1 meal ideas, high protein meal prep, high protein meals, high protein meal plan, tirzepatide meal plan, glp-1 meal plan, glp-1 meal plan easy, glp-1 meal plan pdf, high protein low cal meals"
"7-Day GLP-1 Meal Plan with Macros: 1200 Calories, 100g Protein",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-meal-plans-w37-4faf653a.png,GLP-1 Meal Plans,,"A 7-day GLP-1 meal plan with the macros counted for you: 1200 calories a day, 100g protein, portions sized for a low appetite. Breakfast to dinner, plus a grocery list, so your first week on medication feels planned instead of improvised. Instant PDF download.",https://glp-1-living.com/products/1200-calorie-high-protein-meal-plan-7-day-glp-1-plan-with-ma?utm_source=pinterest&utm_medium=organic&utm_campaign=mealplans&utm_content=glp1-w37-p031,2026-09-10T10:33:00,"glp1 meal plan, glp1 meal ideas, high protein meal prep, high protein meals, glp-1 meal planner, high protein meal plan, free glp-1 meal plan, glp-1 meal plan ideas, glp-1 meal plan, glp-1 meal plan pdf"
"Medspa Instagram Templates: 100 Aesthetic GLP-1 Posts, Editable in Canva",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-c63688c5.png,GLP-1 Tools for Clinics & Coaches,,"100 aesthetic Instagram templates for medspas, weight loss clinics and health coaches offering GLP-1 programs. Educational posts, program explainers, FAQs and booking prompts, all editable in free Canva. Swap in your logo and colors, post for months. Instant download.",https://www.etsy.com/listing/4548404651/?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p032,2026-09-10T11:28:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, weight loss clinic marketing, aesthetic nurse instagram, medspa instagram, medspa canva templates, wellness clinic social media, clinic marketing flyers"
"Health Coach Instagram Templates: Beige GLP-1 Bundle, Editable in Canva",https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-8c8bab8f.png,GLP-1 Tools for Clinics & Coaches,,"Run a GLP-1 program and need content that looks as professional as your clinic? This beige bundle gives you 130 Instagram templates: education, FAQs, consult prompts and program updates. Edit in Canva, add your logo, post. Digital download for medspas and coaches.",https://glp-1-living.com/products/glp-1-medspa-instagram-templates-beige-aesthetic?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p033,2026-09-10T12:03:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, wellness clinic social media, clinic marketing flyers, medspa canva templates, health coach instagram templates, medspa instagram, weight loss clinic marketing"
Med Spa Instagram Post Ideas: 50 Ready-to-Post GLP-1 Templates,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-c4050a94.png,GLP-1 Tools for Clinics & Coaches,,"50 beige aesthetic Instagram posts for medspas and weight loss clinics running GLP-1 programs: education, myths, what to expect, consult prompts. Editable in free Canva, so your feed looks consistent without a designer. Instant download.",https://glp-1-living.com/products/instagram-posts-glp-1?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p034,2026-09-10T12:40:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, weight loss clinic marketing, medspa canva templates, health coach instagram templates, medspa instagram, med spa instagram post ideas, clinic marketing flyers"
Beige GLP-1 Instagram Stories: 50 Medspa Story Templates for Canva,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-ca1d9e76.png,GLP-1 Tools for Clinics & Coaches,,"50 beige Instagram story templates for medspas and weight loss clinics: program explainers, FAQs, before your first dose, consult reminders. Editable in free Canva, sized for stories. Post daily without designing daily. Instant download.",https://glp-1-living.com/products/editable-glp-1-social-media-templates?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p035,2026-09-10T13:19:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, health coach instagram templates, weight loss clinic marketing, aesthetic nurse instagram, med spa instagram post ideas, medspa instagram, wellness clinic social media"
Beige Minimal GLP-1 Bundle: 130 Instagram Templates for Med Spas,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-f21890f3.png,GLP-1 Tools for Clinics & Coaches,,"130 beige minimal Instagram templates for med spas and health coaches with GLP-1 programs. Clean layouts, warm neutrals, editable in free Canva. Everything from education posts to booking prompts, ready to brand. Instant download.",https://www.etsy.com/listing/4549120875/?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p036,2026-09-10T13:39:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, medspa canva templates, weight loss clinic marketing, clinic marketing flyers, med spa instagram post ideas, wellness clinic social media, medspa instagram"
Bold GLP-1 Instagram Bundle: 100 Dark Aesthetic Templates for Medspas,https://cdn.jsdelivr.net/gh/ilsetanis/glp1-living-pins@main/glp1-living-glp-1-tools-for-clinics--w37-21110a40.png,GLP-1 Tools for Clinics & Coaches,,"100 bold, dark aesthetic Instagram templates for medspas and weight loss clinics offering GLP-1 programs. Strong typography, editable in free Canva, made to stand out in a beige feed. Instant download for clinics and coaches.",https://glp-1-living.com/products/glp-1-bold-instagram-template-bundle?utm_source=pinterest&utm_medium=organic&utm_campaign=b2b&utm_content=glp1-w37-p037,2026-09-10T14:19:00,"med spa aesthetic, wellness studio, medspa marketing, weight loss clinic social media, aesthetic nurse instagram, medspa canva templates, health coach instagram templates, weight loss clinic marketing, medspa instagram, med spa instagram post ideas"
